Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Jonathan_Lin_Comms_Prototype\Project Outputs for Jonathan_Lin_Comms_Prototype\Pick Place for transceiver_board_V1.csv

========================================================================================================================
File Design Information:

Date:       10/06/25
Time:       15:39
Revision:   c3d5d731da81cc3c18fefc8b8ccaef7f340df1e3
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"CONN6","10-89-7080","TopLayer","CONN08_0010897080_MOL","82.7278","72.6440","270","Board Connector, 8 Contact(s), 2 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Receptacle"
"CONN5","10-89-7080","TopLayer","CONN08_0010897080_MOL","80.4418","84.0994","0","Board Connector, 8 Contact(s), 2 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Receptacle"
"CONN4","10-89-7140","TopLayer","CONN14_0010897140_MOL","121.8184","104.1146","180","Board Connector, 14 Contact(s), 2 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Receptacle"
"CONN2","10-89-7080","TopLayer","CONN08_0010897080_MOL","141.7646","82.8460","90","Board Connector, 8 Contact(s), 2 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Receptacle"
"CONN3","10-89-7120","TopLayer","CONN12_0010897120_MOL","149.9616","75.6158","90","Board Connector, 12 Contact(s), 2 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Receptacle"
"CONN7","10-89-7120","TopLayer","CONN12_0010897120_MOL","150.2156","56.4642","270","Board Connector, 12 Contact(s), 2 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Receptacle"
"R6","CRCW1210150RJNEA","TopLayer","FP-CRCW1210-e3-IPC_C","67.7672","83.1088","180","Fixed Resistor, Metal Glaze/thick Film, 0.5W, 150ohm, 200V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 1210"
"LED2","LTST-C190KRKT","TopLayer","LTST-C191KRKT_V","69.1388","78.0034","270","LED Uni-Color Red, 62.5 mW, 25 mA, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"J2","1725656","TopLayer","PHOE-1725656-2","65.2780","89.0270","270","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 9 mm, Tail Length 3.5 mm"
"D2","PESD3V3Z1BCSFYL","TopLayer","SOD962-2_DSN0603-2_NEX","66.4464","77.5716","90","PESD3V3Zxx: 6.8 V 15 A 0.45 pF Bidirectional ESD Protection Diode - DSN0603-2"
