Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,,,,,,,,,,,,
,MPMS0020012PH,MPMS0020012PH,"MH1, MH2",CMP-00028-00000-5,Up to date,2,B&F Fastener,MPMS0020012PH,Unknown,,,,
,MPMS0020012PH,MPMS0020012PH,"MH3, MH4",CMP-00028-00000-4,Out of date,2,B&F Fastener,MPMS0020012PH,Unknown,,,,
,SKY65366-21,SKY65366-21,FEM,CMP-00025-00009-1,Up to date,1,Skyworks Solutions,SKY65366-21,Volume Production,,,,
,ERJ-6GEYJ563V,ERJ-6GEYJ563V,R4,CMP-009-00202-1,Up to date,1,Panasonic,ERJ-6GEYJ563V,Volume Production,Newark,65T8836,0.008,0.008
,Resistor 0R +/- 5% 0805 125 mW,RC0805JR-070RL,"R1, R2, R3, R8",CMP-009-00007-5,Up to date,4,Yageo,RC0805JR-070RL,Volume Production,Newark,98K7773,0.008,0.08
,CRCW1210150RJNEA,CRCW1210150RJNEA,"R5, R6",CMP-009-00203-1,Up to date,2,Vishay Dale,CRCW1210150RJNEA,Volume Production,Arrow Electronics,CRCW1210150RJNEA,0.0106,0.0212
,Resistor 10k +/-1% 1206 250 mW,RC1206FR-0710KL,"R10, R11",CMP-009-00016-5,Up to date,2,Yageo,RC1206FR-0710KL,Volume Production,Digikey,311-10.0KFRCT-ND,0.018,0.18
,RMCF1206JT47R0,RMCF1206JT47R0,R9,CMP-009-00201-1,Up to date,1,Stackpole Electronics,RMCF1206JT47R0,Volume Production,Arrow Electronics,RMCF1206JT47R0,0.0195,0.0195
,CC0805CRNPO9BN3R9,CC0805CRNPO9BN3R9,"C10, C12",CMP-001-00101-5,Up to date,2,Yageo,CC0805CRNPO9BN3R9,Volume Production,Arrow Electronics,CC0805CRNPO9BN3R9,0.0205,0.041
,C0805C309C5GACTU,C0805C309C5GACTU,C23,CMP-001-00142-2,Up to date,1,KEMET,C0805C309C5GACTU,Volume Production,Newark,68AC4840,0.023,0.023
,C0805C104K5RACTU,C0805C104K5RACTU,C54,CMP-001-00137-1,Up to date,1,KEMET,C0805C104K5RACTU,Volume Production,Newark,19C6015,0.024,0.024
,1825910-6 Tact Switch,1825910-6,SW3,CMP-011-00013-1,Up to date,1,TE Connectivity Alcoswitch,1825910-6,Volume Production,Future Electronics,9026957,0.0569,0.0569
,GRM2165C1H221JA01D,GRM2165C1H221JA01D,"C4, C6, C8, C11, C15, C18, C26",CMP-001-00130-1,Up to date,7,Murata,GRM2165C1H221JA01D,Not Recommended for New Design,Digikey,490-1616-1-ND,0.09,0.9
,AIMC-0805-22NJ-T,AIMC-0805-22NJ-T,L2,CMP-006-00036-2,Up to date,1,Abracon,AIMC-0805-22NJ-T,Volume Production,Digikey,535-11560-1-ND,0.1,0.1
,GRM21BR71C105KA01L,GRM21BR71C105KA01L,"C20, C28, C29, C31, C34, C35",CMP-001-00129-1,Up to date,6,Murata,GRM21BR71C105KA01L,Volume Production,Farnell,4327079,0.10202,0.61212
,AIMC-0805-12NJ-T,AIMC-0805-12NJ-T,L5,CMP-006-00034-1,Up to date,1,Abracon,AIMC-0805-12NJ-T,Volume Production,Digikey,535-11555-1-ND,0.11,0.11
,GRM2165C2A102JA01D,GRM2165C2A102JA01D,C19,CMP-001-00136-1,Up to date,1,Murata,GRM2165C2A102JA01D,Volume Production,Digikey,490-6445-1-ND,0.11,0.11
,GRM2165C1H101JA01D,GRM2165C1H101JA01D,"C1, C9",CMP-001-00139-1,Up to date,2,Murata,GRM2165C1H101JA01D,Not Recommended for New Design,Digikey,490-1615-1-ND,0.12,0.24
,GRM2195C1H472JA01D,GRM2195C1H472JA01D,C22,CMP-001-00138-1,Up to date,1,Murata,GRM2195C1H472JA01D,Volume Production,Digikey,490-1634-1-ND,0.14,0.14
,LTST-C190KRKT,LTST-C190KRKT,LED2,CMP-007-00024-2,Up to date,1,Vishay Lite-On,LTST-C190KRKT,Volume Production,Mouser,859-LTST-C190KRKT,0.14,0.14
,RC0805FR-0710KL,RC0805FR-0710KL,R7,CMP-009-00200-1,Up to date,1,Yageo,RC0805FR-0710KL,Volume Production,Mouser,603-RC0805FR-0710KL,0.14,0.14
,GRM21BR72A104KAC4L,GRM21BR72A104KAC4L,"C2, C3, C21, C30, C32, C36, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52",CMP-001-00124-1,Up to date,19,Murata,GRM21BR72A104KAC4L,Not Recommended for New Design,Mouser,81-GRM21BR72A104KACL,0.149,2.83
,GRM21BR71E225KE11L,GRM21BR71E225KE11L,"C38, C39",CMP-001-00131-1,Up to date,2,Murata,GRM21BR71E225KE11L,Volume Production,Digikey,490-14467-1-ND,0.15,0.3
,LTST-C170KFKT,LTST-C170KFKT,LED1,CMP-007-00038-1,Up to date,1,Vishay Lite-On,LTST-C170KFKT,Volume Production,Digikey,160-1413-6-ND,0.15,0.15
,NCP186AMX390TAG,NCP186AMX390TAG,LDO,CMP-031-00016-2,Up to date,1,onsemi,NCP186AMX390TAG,Volume Production,Heisener,NCP186AMX390TAG,0.1596,0.1596
,GRM21BR72A103KA01K,GRM21BR72A103KA01K,"C5, C7, C27",CMP-001-00132-1,Up to date,3,Murata,GRM21BR72A103KA01K,Not Recommended for New Design,Digikey,490-11603-1-ND,0.16,0.48
,7447880127,7447880127,"L1, L3, L4",CMP-006-00032-1,Up to date,3,Wurth Electronics,7447880127,Unknown,Digikey,732-7447880127CT-ND,0.19,0.57
,KGM21BCG2A8R2DT,KGM21BCG2A8R2DT,C13,CMP-001-00135-2,Up to date,1,Kyocera AVX,KGM21BCG2A8R2DT,Unknown,Digikey,478-KGM21BCG2A8R2DTCT-ND,0.19,0.19
,GRM21A5C2E270JW01D,GRM21A5C2E270JW01D,"C16, C17",CMP-001-00133-1,Up to date,2,Murata,GRM21A5C2E270JW01D,Volume Production,Arrow Electronics,GRM21A5C2E270JW01D,0.1933,0.3866
